"trial_id","plot_id","rep","crop","variety","yield_part","yield","yield_moisture","yield_isfresh","dataset_id","record_id","on_farm","is_survey","country","location","geo_from_source","latitude","longitude","planting_date","harvest_date","N_fertilizer","P_fertilizer","K_fertilizer","irrigated"
"HUANCAYO_01_2020","HUANCAYO_01_2020_P28",1,"potato","CIP316362.134","tubers",19.0740740740741,,TRUE,"doi:10.21223/B7HWWH",28,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P29",1,"potato","CIP316365.166","tubers",26.8518518518519,,TRUE,"doi:10.21223/B7HWWH",29,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P30",1,"potato","CIP316385.138","tubers",26.1111111111111,,TRUE,"doi:10.21223/B7HWWH",30,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P31",1,"potato","CIP398203.5","tubers",34.2592592592593,,TRUE,"doi:10.21223/B7HWWH",31,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P32",1,"potato","Amarilis","tubers",22.2222222222222,,TRUE,"doi:10.21223/B7HWWH",32,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P33",1,"potato","CIP316360.240","tubers",17.037037037037,,TRUE,"doi:10.21223/B7HWWH",33,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P34",1,"potato","CIP316362.175","tubers",18.5185185185185,,TRUE,"doi:10.21223/B7HWWH",34,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P35",1,"potato","CIP316378.108","tubers",27.037037037037,,TRUE,"doi:10.21223/B7HWWH",35,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P36",1,"potato","CIP316361.132","tubers",36.4814814814815,,TRUE,"doi:10.21223/B7HWWH",36,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P37",1,"potato","CIP316358.103","tubers",26.4814814814815,,TRUE,"doi:10.21223/B7HWWH",37,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P38",1,"potato","CIP316349.166","tubers",32.7777777777778,,TRUE,"doi:10.21223/B7HWWH",38,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P39",1,"potato","CIP316376.133","tubers",18.7037037037037,,TRUE,"doi:10.21223/B7HWWH",39,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P40",1,"potato","CIP316359.115","tubers",28.8888888888889,,TRUE,"doi:10.21223/B7HWWH",40,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P41",1,"potato","CIP316357.187","tubers",15.3703703703704,,TRUE,"doi:10.21223/B7HWWH",41,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P42",1,"potato","CIP316356.158","tubers",16.8518518518519,,TRUE,"doi:10.21223/B7HWWH",42,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P43",1,"potato","CIP316360.156","tubers",27.4074074074074,,TRUE,"doi:10.21223/B7HWWH",43,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P44",1,"potato","CIP302551.26","tubers",22.7777777777778,,TRUE,"doi:10.21223/B7HWWH",44,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P45",1,"potato","CIP316362.152","tubers",23.7037037037037,,TRUE,"doi:10.21223/B7HWWH",45,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P46",1,"potato","Kory","tubers",27.4444444444444,,TRUE,"doi:10.21223/B7HWWH",46,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P47",1,"potato","CIP316359.119","tubers",13.5185185185185,,TRUE,"doi:10.21223/B7HWWH",47,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P48",1,"potato","CIP316353.128","tubers",14.0740740740741,,TRUE,"doi:10.21223/B7HWWH",48,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P49",1,"potato","CIP316371.104","tubers",19.6296296296296,,TRUE,"doi:10.21223/B7HWWH",49,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P50",1,"potato","CIP316363.127","tubers",28.8888888888889,,TRUE,"doi:10.21223/B7HWWH",50,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P51",1,"potato","CIP316358.150","tubers",27.7777777777778,,TRUE,"doi:10.21223/B7HWWH",51,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P52",1,"potato","CIP316385.164","tubers",18.1481481481481,,TRUE,"doi:10.21223/B7HWWH",52,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P53",1,"potato","CIP317015.449","tubers",29.8148148148148,,TRUE,"doi:10.21223/B7HWWH",53,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P54",1,"potato","CIP316352.113","tubers",16.8518518518519,,TRUE,"doi:10.21223/B7HWWH",54,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P55",1,"potato","CIP316344.181","tubers",8.33333333333333,,TRUE,"doi:10.21223/B7HWWH",55,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P56",1,"potato","CIP316345.741","tubers",28.8888888888889,,TRUE,"doi:10.21223/B7HWWH",56,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P57",1,"potato","CIP316358.126","tubers",15.5555555555556,,TRUE,"doi:10.21223/B7HWWH",57,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P58",1,"potato","Kory","tubers",28.3333333333333,,TRUE,"doi:10.21223/B7HWWH",58,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P59",1,"potato","CIP316354.172","tubers",10.3703703703704,,TRUE,"doi:10.21223/B7HWWH",59,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P60",1,"potato","CIP316367.132","tubers",19.6296296296296,,TRUE,"doi:10.21223/B7HWWH",60,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P61",1,"potato","Yungay","tubers",22.5925925925926,,TRUE,"doi:10.21223/B7HWWH",61,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P62",1,"potato","CIP316353.130","tubers",20.9259259259259,,TRUE,"doi:10.21223/B7HWWH",62,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P63",1,"potato","CIP316348.172","tubers",4.07407407407407,,TRUE,"doi:10.21223/B7HWWH",63,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P64",1,"potato","CIP316363.108","tubers",21.1111111111111,,TRUE,"doi:10.21223/B7HWWH",64,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P65",1,"potato","CIP316389.131","tubers",13.8888888888889,,TRUE,"doi:10.21223/B7HWWH",65,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P66",1,"potato","CIP316358.214","tubers",23.3333333333333,,TRUE,"doi:10.21223/B7HWWH",66,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P67",1,"potato","CIP316366.120","tubers",10.9259259259259,,TRUE,"doi:10.21223/B7HWWH",67,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P68",1,"potato","CIP316362.111","tubers",20,,TRUE,"doi:10.21223/B7HWWH",68,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P69",1,"potato","CIP316385.174","tubers",5.92592592592593,,TRUE,"doi:10.21223/B7HWWH",69,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P70",1,"potato","CIP304079.10","tubers",17.2222222222222,,TRUE,"doi:10.21223/B7HWWH",70,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P71",1,"potato","CIP316352.122","tubers",17.037037037037,,TRUE,"doi:10.21223/B7HWWH",71,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P72",1,"potato","CIP316367.102","tubers",14.2592592592593,,TRUE,"doi:10.21223/B7HWWH",72,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P73",1,"potato","CIP317015.460","tubers",16.1111111111111,,TRUE,"doi:10.21223/B7HWWH",73,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P74",1,"potato","CIP316362.137","tubers",16.1111111111111,,TRUE,"doi:10.21223/B7HWWH",74,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P75",1,"potato","CIP316362.158","tubers",24.8148148148148,,TRUE,"doi:10.21223/B7HWWH",75,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P76",1,"potato","CIP316385.149","tubers",24.6296296296296,,TRUE,"doi:10.21223/B7HWWH",76,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P77",1,"potato","CIP316361.227","tubers",10,,TRUE,"doi:10.21223/B7HWWH",77,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P78",1,"potato","Yungay","tubers",28.8888888888889,,TRUE,"doi:10.21223/B7HWWH",78,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P79",1,"potato","CIP316365.158","tubers",23.7037037037037,,TRUE,"doi:10.21223/B7HWWH",79,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P80",1,"potato","CIP316351.139","tubers",13.5185185185185,,TRUE,"doi:10.21223/B7HWWH",80,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P81",1,"potato","Yungay","tubers",35.3703703703704,,TRUE,"doi:10.21223/B7HWWH",81,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P82",1,"potato","CIP316390.152","tubers",15.1851851851852,,TRUE,"doi:10.21223/B7HWWH",82,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P83",1,"potato","CIP316360.116","tubers",22.4074074074074,,TRUE,"doi:10.21223/B7HWWH",83,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P84",1,"potato","CIP316357.208","tubers",15.1851851851852,,TRUE,"doi:10.21223/B7HWWH",84,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P85",1,"potato","CIP316359.124","tubers",15,,TRUE,"doi:10.21223/B7HWWH",85,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P86",1,"potato","CIP316345.726","tubers",14.4444444444444,,TRUE,"doi:10.21223/B7HWWH",86,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P87",1,"potato","Kory","tubers",40.5555555555556,,TRUE,"doi:10.21223/B7HWWH",87,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P88",1,"potato","CIP316392.137","tubers",32.5925925925926,,TRUE,"doi:10.21223/B7HWWH",88,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P89",1,"potato","CIP316359.158","tubers",33.5185185185185,,TRUE,"doi:10.21223/B7HWWH",89,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P90",1,"potato","CIP316385.222","tubers",21.1111111111111,,TRUE,"doi:10.21223/B7HWWH",90,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P91",1,"potato","CIP316352.152","tubers",18.3333333333333,,TRUE,"doi:10.21223/B7HWWH",91,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P92",1,"potato","CIP316348.239","tubers",20,,TRUE,"doi:10.21223/B7HWWH",92,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P93",1,"potato","CIP316358.189","tubers",29.3703703703704,,TRUE,"doi:10.21223/B7HWWH",93,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P94",1,"potato","CIP316371.141","tubers",20.9259259259259,,TRUE,"doi:10.21223/B7HWWH",94,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P95",1,"potato","Amarilis","tubers",30.3703703703704,,TRUE,"doi:10.21223/B7HWWH",95,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P96",1,"potato","CIP317014.230","tubers",17.962962962963,,TRUE,"doi:10.21223/B7HWWH",96,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P97",1,"potato","CIP316391.138","tubers",15.7407407407407,,TRUE,"doi:10.21223/B7HWWH",97,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P98",1,"potato","CIP316389.146","tubers",18.7037037037037,,TRUE,"doi:10.21223/B7HWWH",98,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P99",1,"potato","CIP316385.116","tubers",13.5185185185185,,TRUE,"doi:10.21223/B7HWWH",99,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P100",1,"potato","CIP398098.203","tubers",23.3333333333333,,TRUE,"doi:10.21223/B7HWWH",100,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P101",1,"potato","Yungay","tubers",28.3333333333333,,TRUE,"doi:10.21223/B7HWWH",101,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P102",1,"potato","CIP316359.227","tubers",21.4814814814815,,TRUE,"doi:10.21223/B7HWWH",102,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P103",1,"potato","Amarilis","tubers",190.740740740741,,TRUE,"doi:10.21223/B7HWWH",103,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P104",1,"potato","CIP316352.118","tubers",5.74074074074074,,TRUE,"doi:10.21223/B7HWWH",104,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P105",1,"potato","CIP316353.133","tubers",14.2592592592593,,TRUE,"doi:10.21223/B7HWWH",105,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P106",1,"potato","CIP316353.147","tubers",23.8888888888889,,TRUE,"doi:10.21223/B7HWWH",106,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P107",1,"potato","CIP316380.131","tubers",22.1481481481481,,TRUE,"doi:10.21223/B7HWWH",107,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P108",1,"potato","CIP316360.228","tubers",19.4444444444444,,TRUE,"doi:10.21223/B7HWWH",108,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P109",1,"potato","CIP316352.125","tubers",15.7407407407407,,TRUE,"doi:10.21223/B7HWWH",109,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P110",1,"potato","CIP316380.150","tubers",23.5185185185185,,TRUE,"doi:10.21223/B7HWWH",110,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P111",1,"potato","CIP317015.469","tubers",10.5555555555556,,TRUE,"doi:10.21223/B7HWWH",111,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P112",1,"potato","CIP398190.615","tubers",13.7037037037037,,TRUE,"doi:10.21223/B7HWWH",112,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P113",1,"potato","CIP317029.443","tubers",17.2222222222222,,TRUE,"doi:10.21223/B7HWWH",113,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P114",1,"potato","CIP316352.159","tubers",15.9259259259259,,TRUE,"doi:10.21223/B7HWWH",114,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P115",1,"potato","CIP316376.169","tubers",17.5925925925926,,TRUE,"doi:10.21223/B7HWWH",115,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P116",1,"potato","CIP316353.134","tubers",28.3333333333333,,TRUE,"doi:10.21223/B7HWWH",116,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P117",1,"potato","CIP316345.241","tubers",15.1851851851852,,TRUE,"doi:10.21223/B7HWWH",117,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P118",1,"potato","CIP316353.101","tubers",14.4444444444444,,TRUE,"doi:10.21223/B7HWWH",118,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P119",1,"potato","CIP316385.230","tubers",7.7037037037037,,TRUE,"doi:10.21223/B7HWWH",119,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P120",1,"potato","CIP316373.249","tubers",10.3703703703704,,TRUE,"doi:10.21223/B7HWWH",120,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
"HUANCAYO_01_2020","HUANCAYO_01_2020_P121",1,"potato","CIP316367.171","tubers",11.2962962962963,,TRUE,"doi:10.21223/B7HWWH",121,FALSE,FALSE,"Peru","Huancayo",FALSE,,,,,,,,
