trial_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,elevation,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
PTYL200910,1,potato,Dutch,tubers,7407.40740740741,,TRUE,doi_10.21223_FBZ6JS,25,FALSE,FALSE,Kenya,baraka,35.0333,-0.2,TRUE,1203,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,Dutch,tubers,17592.5925925926,,TRUE,doi_10.21223_FBZ6JS,26,FALSE,FALSE,Kenya,baraka,35.0333,-0.2,TRUE,1203,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,Dutch,tubers,15740.7407407407,,TRUE,doi_10.21223_FBZ6JS,27,FALSE,FALSE,Kenya,baraka,35.0333,-0.2,TRUE,1203,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,Dutch,tubers,13888.8888888889,,TRUE,doi_10.21223_FBZ6JS,28,FALSE,FALSE,Kenya,baraka,35.0333,-0.2,TRUE,1203,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP381381.13,tubers,12962.962962963,,TRUE,doi_10.21223_FBZ6JS,29,FALSE,FALSE,Kenya,baraka,35.0333,-0.2,TRUE,1203,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP381381.13,tubers,27777.7777777778,,TRUE,doi_10.21223_FBZ6JS,30,FALSE,FALSE,Kenya,baraka,35.0333,-0.2,TRUE,1203,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP381381.13,tubers,20370.3703703704,,TRUE,doi_10.21223_FBZ6JS,31,FALSE,FALSE,Kenya,baraka,35.0333,-0.2,TRUE,1203,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP381381.13,tubers,21296.2962962963,,TRUE,doi_10.21223_FBZ6JS,32,FALSE,FALSE,Kenya,baraka,35.0333,-0.2,TRUE,1203,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP385524.9,tubers,17592.5925925926,,TRUE,doi_10.21223_FBZ6JS,33,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP385524.9,tubers,21296.2962962963,,TRUE,doi_10.21223_FBZ6JS,34,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP385524.9,tubers,28703.7037037037,,TRUE,doi_10.21223_FBZ6JS,35,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP385524.9,tubers,24074.0740740741,,TRUE,doi_10.21223_FBZ6JS,36,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP391391.96,tubers,12037.037037037,,TRUE,doi_10.21223_FBZ6JS,37,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP391391.96,tubers,13888.8888888889,,TRUE,doi_10.21223_FBZ6JS,38,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP391391.96,tubers,23148.1481481482,,TRUE,doi_10.21223_FBZ6JS,39,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP391391.96,tubers,15740.7407407407,,TRUE,doi_10.21223_FBZ6JS,40,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP392617.54,tubers,8333.33333333333,,TRUE,doi_10.21223_FBZ6JS,41,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP392617.54,tubers,12962.962962963,,TRUE,doi_10.21223_FBZ6JS,42,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP392617.54,tubers,19444.4444444444,,TRUE,doi_10.21223_FBZ6JS,43,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP392617.54,tubers,12962.962962963,,TRUE,doi_10.21223_FBZ6JS,44,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
