trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,yield_marketable,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
MXKUIK_Chinchao_2019-2020,305,3,potato,CIP391058.175,tubers,34784.374375,,TRUE,28252.0322916667,doi_10.21223_MXKUIK,29,TRUE,FALSE,Peru,Chinchao,,,FALSE,,,,,,
MXKUIK_Chinchao_2019-2020,306,3,potato,CIP396034.103,tubers,33120.2361702128,,TRUE,31264.4627659575,doi_10.21223_MXKUIK,30,TRUE,FALSE,Peru,Chinchao,,,FALSE,,,,,,
MXKUIK_Chinchao_2019-2020,307,3,potato,CIP396026.101,tubers,38297.739084507,,TRUE,31924.5633802817,doi_10.21223_MXKUIK,31,TRUE,FALSE,Peru,Chinchao,,,FALSE,,,,,,
MXKUIK_Chinchao_2019-2020,308,3,potato,CIP391046.14,tubers,23511.0430827068,,TRUE,18486.0306766917,doi_10.21223_MXKUIK,32,TRUE,FALSE,Peru,Chinchao,,,FALSE,,,,,,
MXKUIK_Chinchao_2019-2020,309,3,potato,CIP396036.201,tubers,27528.0693877551,,TRUE,22981.6295918367,doi_10.21223_MXKUIK,33,TRUE,FALSE,Peru,Chinchao,,,FALSE,,,,,,
MXKUIK_Chinchao_2019-2020,310,3,potato,CIP395123.6,tubers,41323.1161764706,,TRUE,37172.8308823529,doi_10.21223_MXKUIK,34,TRUE,FALSE,Peru,Chinchao,,,FALSE,,,,,,
MXKUIK_Chinchao_2019-2020,311,3,potato,CIP393077.159,tubers,45684.4746575342,,TRUE,41163.9719178082,doi_10.21223_MXKUIK,35,TRUE,FALSE,Peru,Chinchao,,,FALSE,,,,,,
MXKUIK_Chinchao_2019-2020,312,3,potato,Unica,tubers,35132.982,,TRUE,31121.911,doi_10.21223_MXKUIK,36,TRUE,FALSE,Peru,Chinchao,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,101,1,potato,CIP391046.14,tubers,41063.9571724138,,TRUE,30615.7857931035,doi_10.21223_MXKUIK,37,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,102,1,potato,CIP393371.164,tubers,41559.7695833333,,TRUE,33143.1870833333,doi_10.21223_MXKUIK,38,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,103,1,potato,CIP396026.101,tubers,55754.998,,TRUE,51715.0384,doi_10.21223_MXKUIK,39,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,104,1,potato,Unica,tubers,40766.259,,TRUE,33432.999,doi_10.21223_MXKUIK,40,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
MXKUIK_Chugay_2019-2020,105,1,potato,CIP392617.54,tubers,71056.7606896552,,TRUE,69907.3468965517,doi_10.21223_MXKUIK,41,TRUE,FALSE,Peru,Chugay,,,FALSE,,,,,,
