trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,plant_density,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
HDAREL_exp1,1_127,1,potato,CIP312895.056,,,,,33333.3333333333,doi_10.21223_HDAREL,27,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,1_128,1,potato,CIP312925.105,,,,,33333.3333333333,doi_10.21223_HDAREL,28,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,1_129,1,potato,CIP312903.013,,,,,33333.3333333333,doi_10.21223_HDAREL,29,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,1_130,1,potato,CIP312905.156,,,,,33333.3333333333,doi_10.21223_HDAREL,30,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,1_131,1,potato,CIP312889.082,,,,,33333.3333333333,doi_10.21223_HDAREL,31,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_201,2,potato,CIP312906.102,,,,,33333.3333333333,doi_10.21223_HDAREL,32,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_202,2,potato,CIP312909.046,,,,,33333.3333333333,doi_10.21223_HDAREL,33,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_203,2,potato,CIP312925.105,,,,,33333.3333333333,doi_10.21223_HDAREL,34,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_204,2,potato,CIP312923.058,,,,,33333.3333333333,doi_10.21223_HDAREL,35,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_205,2,potato,CIP312903.013,,,,,33333.3333333333,doi_10.21223_HDAREL,36,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_206,2,potato,CIP312889.018,,,,,33333.3333333333,doi_10.21223_HDAREL,37,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
