trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,yield_marketable,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,elevation,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
RWIMFO_Yanamayo_Mother,21,2,potato,CIP399053.12,tubers,18333.33,,TRUE,10000,doi_10.21223_P3_RWIMFO,21,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,22,2,potato,CIP399058.12,tubers,15000,,TRUE,8333.333,doi_10.21223_P3_RWIMFO,22,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,23,2,potato,CIP399062.108,tubers,16666.67,,TRUE,6666.667,doi_10.21223_P3_RWIMFO,23,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,24,2,potato,CIP399062.119,tubers,16666.67,,TRUE,11666.667,doi_10.21223_P3_RWIMFO,24,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,25,2,potato,CIP399048.39,tubers,15000,,TRUE,10000,doi_10.21223_P3_RWIMFO,25,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,26,2,potato,CIP399001.16,tubers,26666.67,,TRUE,20000,doi_10.21223_P3_RWIMFO,26,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,27,2,potato,CIP399072.28,tubers,18333.33,,TRUE,10000,doi_10.21223_P3_RWIMFO,27,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,28,2,potato,CIP399049.14,tubers,28333.33,,TRUE,18333.333,doi_10.21223_P3_RWIMFO,28,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,29,2,potato,CIP399049.16,tubers,30000,,TRUE,20000,doi_10.21223_P3_RWIMFO,29,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
RWIMFO_Yanamayo_Mother,30,2,potato,CIP399049.22,tubers,15000,,TRUE,8333.333,doi_10.21223_P3_RWIMFO,30,TRUE,FALSE,Peru,Yanamayo,-72.26289,-13.25588,TRUE,2906,2009-09-19,2010-05-13,,,,
