trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,flesh_color,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
ZTPO9T_Huancayo,108,1,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,38,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,109,1,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,39,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,110,1,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,40,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,201,2,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,41,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,202,2,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,42,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,203,2,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,43,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,204,2,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,44,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,205,2,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,45,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,206,2,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,46,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,207,2,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,47,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,208,2,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,48,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,209,2,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,49,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,210,2,potato,Unica,,,,,,doi_10.21223_ZTPO9T,50,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,301,3,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,51,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,302,3,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,52,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,303,3,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,53,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,304,3,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,54,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,305,3,potato,Unica,,,,,,doi_10.21223_ZTPO9T,55,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,306,3,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,56,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,307,3,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,57,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,308,3,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,58,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,309,3,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,59,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Huancayo,310,3,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,60,FALSE,FALSE,Peru,Huancayo,,,FALSE,,,,,,
ZTPO9T_Chugay,101,1,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,61,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,102,1,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,62,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,103,1,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,63,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,104,1,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,64,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,105,1,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,65,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,106,1,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,66,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,107,1,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,67,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,108,1,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,68,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,109,1,potato,Unica,,,,,,doi_10.21223_ZTPO9T,69,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,110,1,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,70,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,201,2,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,71,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,202,2,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,72,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,203,2,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,73,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,204,2,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,74,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,205,2,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,75,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,206,2,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,76,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,207,2,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,77,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,208,2,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,78,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,209,2,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,79,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,210,2,potato,Unica,,,,,,doi_10.21223_ZTPO9T,80,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,301,3,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,81,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,302,3,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,82,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,303,3,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,83,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,304,3,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,84,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,305,3,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,85,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,306,3,potato,Unica,,,,,,doi_10.21223_ZTPO9T,86,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,307,3,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,87,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,308,3,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,88,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,309,3,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,89,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Chugay,310,3,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,90,FALSE,FALSE,Peru,Chugay,,,FALSE,,,,,,
ZTPO9T_Yanac,101,1,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,91,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,102,1,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,92,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,103,1,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,93,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,104,1,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,94,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,105,1,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,95,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,106,1,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,96,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,107,1,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,97,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,108,1,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,98,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,109,1,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,99,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,110,1,potato,Unica,,,,,,doi_10.21223_ZTPO9T,100,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,201,2,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,101,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,202,2,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,102,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,203,2,potato,CIP396026.101,,,,,,doi_10.21223_ZTPO9T,103,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,204,2,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,104,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,205,2,potato,CIP393077.159,,,,,,doi_10.21223_ZTPO9T,105,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,206,2,potato,Unica,,,,,,doi_10.21223_ZTPO9T,106,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,207,2,potato,CIP391058.175,,,,,,doi_10.21223_ZTPO9T,107,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,208,2,potato,CIP393371.164,,,,,,doi_10.21223_ZTPO9T,108,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,209,2,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,109,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,210,2,potato,CIP396034.103,,,,,,doi_10.21223_ZTPO9T,110,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,301,3,potato,CIP395123.6,,,,,,doi_10.21223_ZTPO9T,111,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,302,3,potato,Canchan,,,,,,doi_10.21223_ZTPO9T,112,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,303,3,potato,Unica,,,,,,doi_10.21223_ZTPO9T,113,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,304,3,potato,CIP396036.201,,,,,,doi_10.21223_ZTPO9T,114,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
ZTPO9T_Yanac,305,3,potato,CIP392650.12,,,,,,doi_10.21223_ZTPO9T,115,FALSE,FALSE,Peru,Yanac,,,FALSE,,,,,,
